10,62.75,460.4,66.456,445.4,67.4,572.2
20,188.879,1557.4,182.85,1540.8,189.719,1456.2
30,332.436,2698.8,327.387,2648.8,346.456,2526.0
40,435.189,3812.8,445.2925,4074.8,446.088,3909.8
50,674.0824,5369.0,674.9644,5238.0,656.3624,5687.2
